kind,rho,mean_s,max_s,p90_s,C,kappa,C_kappa,GUARD
structured,0.40470555897444305,0.6100391625067733,0.9997347822451268,0.9950450684940025,0.40495338570134054,0.22197143821217746,0.08988808543301718,0.4948414711343577
diffuse,0.40470555897444305,0.6148082001297023,0.9988460891529596,0.9946770061494492,0.4093409555992561,0.02120721115634816,0.008680980080334761,0.41802193567959084
structured,0.2661079618317834,0.5401702333244841,0.9995950142438268,0.9918095000417189,0.34391725874391743,0.1442441390037047,0.0496080488760307,0.39352530761994814
diffuse,0.2661079618317834,0.5243110917702817,0.9994621941716728,0.9894257172668769,0.33083474231554544,0.02214640759775377,0.007326801050817906,0.33816154336636334
structured,0.2527717703255091,0.5337944617750606,0.9996642909308529,0.9938572074322608,0.33862594749691816,0.14753573057564073,0.04995942655582638,0.3885853740527445
diffuse,0.2527717703255091,0.545739651984984,0.9993254891431267,0.9910466759558698,0.34857508953440486,0.023271139779324934,0.008111739632145839,0.3566868291665507
structured,0.4770034994081169,0.6575709611364431,0.999181536494049,0.9954235371085537,0.45011859681045474,0.24258659817974826,0.1091927391776899,0.5593113359881446
diffuse,0.4770034994081169,0.6615127286082789,0.9994992882952586,0.9960467928342189,0.45401539723507545,0.019457811857481522,0.008834146179799834,0.4628495434148753
structured,0.4459263684779006,0.6536221897047921,0.9996638282242453,0.9962818553668223,0.4462393195839307,0.239364847195506,0.10681400654483414,0.5530533261287649
diffuse,0.4459263684779006,0.6437306008554703,0.9998118800085796,0.995939696634849,0.4366269444709907,0.019232235564823674,0.00839731225001528,0.445024256721006
structured,0.35389113656885957,0.598212213861215,0.9994073477133926,0.9926512566216911,0.3942020742315023,0.17591621079863762,0.06934653518776915,0.46354860941927145
diffuse,0.35389113656885957,0.6061029450815733,0.9991931811012128,0.9938554977515798,0.40135484235696256,0.021325228648563788,0.0085589837824705,0.40991382613943306
structured,0.4472724788292234,0.6433872763123948,0.9998832098223175,0.9962655404691493,0.43629596400154386,0.2481735634660035,0.10827712411209832,0.5445730881136421
diffuse,0.4472724788292234,0.6497254433820213,0.9997452126940187,0.9951525705818312,0.4424347980495545,0.019965992495639462,0.008833649857667165,0.45126844790722165
structured,0.4224401156704129,0.6290342380566507,0.9996911552156337,0.9951016171303703,0.4226136945511206,0.22589397256093835,0.09546588632080762,0.5180795808719282
diffuse,0.4224401156704129,0.619653562529059,0.999654149650031,0.9962096238023959,0.4138302391941396,0.0193706588040774,0.008016164366239416,0.421846403560379
structured,0.4782221775575501,0.6651417176880233,0.9995534717178254,0.9951873773170793,0.45762485128429514,0.24948069362925807,0.11416856532039202,0.5717934166046872
diffuse,0.4782221775575501,0.6604990782049603,0.9996985325986063,0.9956559808981738,0.45301096190336876,0.024057565405903536,0.01089834084558157,0.4639093027489503
structured,0.4397375385860249,0.640023023301956,0.999738916505561,0.9957880672662768,0.4330619371822315,0.22098264323944583,0.09569917156492437,0.5287611087471559
diffuse,0.4397375385860249,0.640178315983797,0.9998427132976134,0.9964509233813605,0.4332108500121936,0.022090474956322326,0.00956983343300147,0.4427806834451951
structured,0.26946668744512026,0.5319187255398519,0.9996516921610432,0.9942955145269732,0.3370774584371123,0.15921710749153362,0.05366849793295466,0.3907459563700669
diffuse,0.26946668744512026,0.5342092901987743,0.9991856723271317,0.9925342155044544,0.3389689042481444,0.022257115472978928,0.007544470043600087,0.3465133742917445
structured,0.34933669054933814,0.5815391447711694,0.9998977350057647,0.9952131662275353,0.3793482027643874,0.2036341582601372,0.07724825195742188,0.4565964547218093
diffuse,0.34933669054933814,0.593715964546862,0.9996781559273161,0.9942680814331692,0.39016212400364225,0.02118975616055263,0.008267440270720478,0.3984295642743627
structured,0.2553013962285439,0.5342366210702073,0.9991371069666635,0.9924541714118469,0.33899150625627933,0.13823586029909096,0.04686078250142145,0.3858522887577008
diffuse,0.2553013962285439,0.5519361696438349,0.9996922153601475,0.9899620119938956,0.35379720840400547,0.019818381860177925,0.007011688177215531,0.360808896581221
structured,0.3413399686671382,0.5822495345872046,0.9989406313071135,0.9942209375902531,0.3799740653230561,0.18472508673022348,0.07019074217203713,0.45016480749509324
diffuse,0.3413399686671382,0.5849484097036182,0.9995000998647009,0.9955725106841773,0.38235742380845295,0.021957985129034574,0.00839579862596198,0.3907532224344149
structured,0.475580147532063,0.6611725959028318,0.9996614736307771,0.9961388916789935,0.45367817460686033,0.2510292253218013,0.11388648071696904,0.5675646553238294
diffuse,0.475580147532063,0.662027462566199,0.9992018060811164,0.9960352128158346,0.4545260776614537,0.022774279948746257,0.010351504136667529,0.4648775817981212
structured,0.4751367717642807,0.659636767528568,0.9995784420880608,0.995427055017358,0.4521577736938751,0.23970659347263568,0.10838519964432972,0.5605429733382048
diffuse,0.4751367717642807,0.6602736037431588,0.9995347680021864,0.9971816165473688,0.452787759025919,0.019360402657972564,0.008766153333342843,0.46155391235926185
structured,0.2654428619749964,0.5434104326383645,0.9998182853750033,0.9911716913829074,0.34662302133080597,0.15004719577257752,0.05200981234090576,0.3986328336717117
diffuse,0.2654428619749964,0.5387092427721221,0.9994067851793782,0.9943372433995693,0.3427009398483044,0.022516370846731415,0.0077163814511478175,0.35041732129945224
structured,0.4192255809113762,0.6313036469930112,0.9997438771519062,0.9960681804993825,0.4247572213993501,0.23415802282716147,0.0994603111444307,0.5242175325437808
diffuse,0.4192255809113762,0.6294818551642485,0.999544936425886,0.9960231546558711,0.4230359026238216,0.020862646233570814,0.008825648380540101,0.43186155100436174
structured,0.43911306595503935,0.6359102425628358,0.9996080981579986,0.9948862271460002,0.42913099341760297,0.22561371223438986,0.09681783645977693,0.5259488298773799
diffuse,0.43911306595503935,0.6493982375802209,0.9993943489328942,0.9965389701715632,0.4421163947643893,0.01987172136446136,0.008785613807418147,0.45090200857180746
structured,0.28983136869123716,0.5694170427407883,0.9997492298451536,0.9913189553660611,0.3687619009671297,0.13953588133984807,0.05145551685600621,0.4202174178231359
diffuse,0.28983136869123716,0.5683520119258116,0.9992129269921398,0.9923239674693125,0.3678401198979383,0.01872328963889558,0.006887177105655176,0.3747272970035935
structured,0.2214460419870191,0.5092394713247276,0.9988264607228827,0.9886013372155823,0.3186416257432855,0.11085627317075164,0.035323423106970064,0.35396504885025554
diffuse,0.2214460419870191,0.5201740995533175,0.9996597276862201,0.9901393224635098,0.32746503111986075,0.020084232440783056,0.00657688380123954,0.3340419149211003
structured,0.27137191988888526,0.5547622476669879,0.9997204024111979,0.9917029683182925,0.35619301557631383,0.13058669096053988,0.04651406724736686,0.4027070828236807
diffuse,0.27137191988888526,0.5323699272129861,0.9991534217671222,0.9920508231417591,0.3374496038702696,0.02246750061151126,0.007581649181309515,0.3450312530515791
structured,0.2520894908526208,0.543153706107593,0.9992994213014319,0.9923565468364098,0.34640822514392255,0.12949552070949888,0.04485831349306557,0.3912665386369881
diffuse,0.2520894908526208,0.5385598126749439,0.9996134569411013,0.9919653009134202,0.34257666368640016,0.021666621990094947,0.007422479074721119,0.34999914276112126
structured,0.2043423430370201,0.4986144501069442,0.9992256222805843,0.987851915933511,0.3101810238856542,0.11868499463512783,0.036813833155787325,0.34699485704144156
diffuse,0.2043423430370201,0.5046984901730392,0.9992048623807478,0.989980312686577,0.3150122502786961,0.020914215712481088,0.006588234154402731,0.32160048443309885
structured,0.34901055253860214,0.5742797275870222,0.9994710528438141,0.9945656651847047,0.3729874830009156,0.19836025261943235,0.07398589135194786,0.44697337435286344
diffuse,0.34901055253860214,0.5827627917786345,0.9984461585880808,0.9922372180448624,0.3804266338869392,0.021927724897382372,0.008341890571510005,0.3887685244584492
structured,0.23830709686774332,0.49516131446132655,0.9989103398732649,0.9909597217586342,0.3074547676036613,0.14077382951320905,0.04328158503766112,0.3507363526413224
diffuse,0.23830709686774332,0.5119300983856915,0.9991565018825616,0.9930560900997139,0.3208016836969627,0.02333240033947681,0.007485073313595745,0.3282867570105585
structured,0.2009543327879935,0.5137392208972211,0.9991307441369934,0.9846397587303337,0.3222581018491298,0.09903712760190952,0.031915516753581424,0.35417361860271124
